entity,type
1. Weltkrieg,MISC
10 Jahre älter,MISC
100 Jahre Stadttheater,MISC
62er Jahr,MISC
ALLERERSTEN,ORG
ALLES,ORG
AUGE,ORG
Aarau,LOC
Aargauer Tagblatt,ORG
Abonnement,DANC
Addis Abeba,LOC
Affendarstellungen,LOC
Afrika,LOC
Afrikaner,LOC
Afrikanerin,LOC
Afrikanern,LOC
Agon,MISC;PER
Akrobatik,STYL
Akt,DANC
Akzent,DANC
Alain,PER
Alain Bernard,PER
Alain Bernhard,PER
Alain Patel,PER
Alain Platel,PER
Alar,PER
Alberto Rossi,PER
Albisgüetli,LOC
Alexander Puschkin,PER
Alexei Ratmansky,PER
Alias,MISC
Alwin Nikolais,PER
Amerika,LOC
Amerika-Tournee,LOC
Amerikaner,LOC
Amerikanisches,MISC
Amerikatournee,LOC
Anfang,PROC
Ankündigung,JOUR
Anm,LOC;PER
Ann Hutchinson,PER
Ann Hutchinson Guest,PER
Anna Huber,PER
Anne Collod,PER
Anne Teresa De Keersmaeker,PER
Anne Teresa Keersmaeker,PER
Anne Teresa de Keersmaeker,PER
Anne Woolliams,PER
Annemarie,PER
Annemarie Sutter,PER
Annette Ringier,PER
Anschluss,MISC
Antarktis,LOC
Antony Tudor,PER
Antriebslehre,DANC
Apollon Musagète,PER
Appenzell,LOC
Appenzeller-Kind,ORG
Arabeske,DANC
Arabesque,DANC
Ararat,LOC
Architektur,STYL
Archiv,JOUR
Archivkisten,JOUR
Arm,BODY
Arman,PER
Armenien,LOC
Armgeste,DANC
Artikel,JOUR
Ashton,PER
Ashton-Material,MISC
Auffüh-,DANC
Aufführung,DANC
Auflagezahlen,MISC
Aufm PC,JOUR
Aufsatzschreiben,LOC
Auftritt,DANC
Augen,BODY
Aughterlony,ORG
Aula Rämibühl,LOC
Ausbildung,PROC
Ausdruck,DANC
Ausdruckstanz,STYL
Ausdruckstanzbereich,LOC
Ausdruckstanzes,LOC
Ausdruckstänzerin,STYL
Ausdruckstänzerische,MISC
Ausdruckstänzern,MISC
Auslastungszahlen,MISC
Ausnahme-Männer,MISC
Ausnahmekünstlerinnen,LOC
Ausstattung,DANC
Ausstellung,JOUR
Autofriedhöfe,LOC
BA,ORG
BEIDE,ORG
Babel,MISC
Bacharbeiten,WORK
Bad Ragaz,LOC
Baden Baden,LOC
Baden-Baden,LOC
Balance,DANC
Balanchine,MISC;PER
Balanchine-Ballettführer,MISC
Balanchine-Büchern,LOC
Balanchine-Trust,MISC
Balanchine-Werke,ORG
Ballerina,DANC
Ballet C de la B,ORG
Ballet Jooss,ORG;PER
Ballet du Rhin,LOC
Ballets C de la B.,PER
Ballets Russes-Schiene,ORG
Ballets Russesda,ORG
Ballett,STYL
Ballett Zürich,LOC
Ballett-Abend,MISC
Ballett-Mädchen,MISC
Ballettabenden,ORG
Ballettchef,DANC
Ballettchefs,ORG
Balletteinlage,DANC
Ballettgastspiele,MISC
Ballettkompanien,LOC
Ballettleiter,DANC
Ballettmeister,DANC
Ballettschule Zürich,ORG
Ballonné,DANC
Ballotté,DANC
Barbara,PER
Barock,STYL
Barockensemble,DANC
Bartók,PER
Baryshnikov,PER
Basel,LOC;ORG
Basic Food,MISC
Bauch,BODY
Bauernleuten,MISC
Bayadère,PER
Bea,MISC;PER
Beatrice Tschumi,PER
Beatrix Tschumi,PER
Beethoven,PER
Beethoven-Violinkonzert,WORK
Bein,BODY
Belinda,PER
Ben Iida,PER
Beobachtest du bei dir,MISC
Bergen,LOC
Bergsteiger-Familie,MISC
Beriozoff,PER
Berlin,LOC
Bern,LOC
Bernd Bienert,PER
Berner,LOC
Berner Zeitung,ORG
Berte Trümpi,MISC;PER
Berthe Trümpy,PER
Berufstänzer,MISC;PER
Berührt-Sein,LOC
Besetzungszettel,LOC
Bettina,LOC
Bewegung,DANC
Bewegungsmaterial,DANC
Beziehungen,DANC
Bibel,MISC
Bibliografie,JOUR
Bibliothek,JOUR
Biel,LOC
Bienert,PER
Bienert hast du da,MISC
Bienertist,MISC
Billetts,DANC
Binder,PER
BirdLife Schweiz,ORG
Bist du,MISC
Bleiben,MISC
Bleiwüste,JOUR
Blog,JOUR
Boll,LOC
Bolschoi,LOC
Bolschoi-Ballett,MISC
Bonobos,MISC
Borneo,LOC
Botta,PER
Botvinov,LOC
Bournonville,PER
Bournonville-Ballette,LOC
Bournonville-Spezialist,MISC
Bournonville-Technik,LOC
Bournonville-Tradition,MISC
Brandenburg,LOC
Bregenz,LOC
Brenaa,LOC;PER
Brighton,LOC
Brigitta Luisa Merki,PER
Brigitte,PER
Brigitte Hamann,PER
Broadway,LOC
Broschüre,JOUR
Bubenklasse,MISC
Buch,STYL
Buchbesprechung,JOUR
Buchegg,LOC
Bund,LOC
Burth,PER
Busch,LOC
Buschspital,LOC
Bush,PER
Béjart,PER
Béjart-Ballett Lausanne,MISC
Béla Bartók,PER
Börlin,ORG;PER
Bühne,DANC
Bühnenarbeiten,ORG
Bühnenbild,DANC
Bühnendimensionen,LOC
Bühnenstudio,LOC
Bühnentechnik,DANC
Bühnenunfall,DANC
Bündnerland,LOC
CH,LOC
CH-Tanztheater,ORG
CHF,MISC
Cabaret Voltaire,MISC
Café Müller,LOC;MISC
Cage,PER
Carnegie Hall,LOC
Catana,MISC;ORG
Cathy Sharp,PER
Cecchetti,PER
Chaplin,PER
Charakter,DANC
Charaktertanz,STYL
Charaktertänze,STYL
Charaktertänzern,MISC
Charisma,DANC
Charlotte Bara,PER
Chile,LOC
Chiton,MISC
Chladek,LOC;PER
Chladek-Technik,MISC
Chnorz,JOUR
Chopin,PER
Chopiniana,MISC
Choreo- grafie-Wettbewerb 1932,MISC
Choreografie,PROC
Choreografie-Wettbewerb,MISC
Choreutik,DANC
Christian Spuck,PER
Christina Thurner,PER
Christine Merz,PER
Chruschtschow,PER
Chruschtschow-Rede,MISC
Chur,LOC
Cinderella,PER
Claude Perrottet,PER
Claudia Jeschke,PER
Claudia Rosiny,PER
Clotilde von Derp,PER
Coach,DANC
Cohen,PER
Collagen,STYL
Computer,JOUR
Concerto Barocco,WORK
Corps,ORG
Corps de Ballet,ORG
Corps de Ballet-Tänzer,ORG
Corsaire,WORK
Corso,LOC
Così fan tutte,WORK
Cranko,PER
Cranko-Festival,MISC
Cunningham,PER
DA,ORG
DADA,STYL
DANN,MISC;ORG
DEIN Tanzerbe,MISC
DEM,MISC
DER,MISC
DIE,MISC
DORT,MISC
DVD,JOUR
Dada,STYL
Dada-Abenden,ORG
Dada-Bewegung,ORG
Dada-Kreisen,STYL
Dadaismus,STYL
Dadakostüme,STYL
Daheim,LOC
Dalcroze,LOC;PER
Dalcroze-Diplom,LOC
Dalcroze-Institut,LOC
Daran musst du dich,MISC
Dartington Hall,LOC
Das Schlimme,MISC
David,PER
David Bowie,PER
Degas,PER
Depen-,LOC
Der Bienert,MISC
Der Nussknacker,WORK
Der Rosen,MISC
Der Schwarzen Spinne,WORK
Der Tag,MISC
Der Verlorene Sohn,WORK
Der schwarzen Spinne,WORK
Der sterbende Schwan,WORK
Descombey,LOC;PER
Desdemona,MISC
Deutsch,MISC
Deutsches,MISC
Deutschland,LOC
Deutschland-Tournee,LOC
Deutschschweiz,LOC
Deutschschweizer,LOC
Diaghilev,MISC
Die Dame und das Einhorn,WORK
Die Kritikerin und der Künstler?,MISC
Die Schöpfung,WORK
Dieter Ammann,PER
Dietlikon,LOC
Direktor,DANC
Dirigent,DANC
Diskrepanz,DANC
Divertissement,DANC
Don Juan,PER
Don Quichote,WORK
Don Quijote,WORK
Doppelgeigenkonzert,PER
Dore Hoyer,PER
Doris Catana,PER
Dornröschen,WORK
Dostojewski,PER
Drama,STYL
Dramatik,DANC
Dreckstrassen,LOC
Dreiertakt,LOC
Dreiländereck,LOC
Dresden,LOC
Drese,LOC;PER
Drogenersatz,LOC
Drum bin ich froh,MISC
"Du archivierst alles, was du schreibst und liest",MISC
Du bist,MISC
Du bist Ballettexpertin,MISC
Du da,MISC
Du da nicht Lust – also Lust hast Du,MISC
Du freust dich,MISC
"Du hast ""Shortpieces",MISC
Du hast in deinem Leben,MISC
Du hast ja,MISC
Du jetzt,MISC
Du plädierst also,MISC
Du schreibst mir,MISC
Du schreibst nicht,MISC
Du tanzt,MISC
Du was meinst du,MISC
Dubois,PER
Duncan,PER
Dunkeln,LOC
Durban,LOC
Dussia Bereska,PER
Dynamik,DANC
Düsseldorf,LOC
E. T. A. Hoffmann,PER
E. T. A. Hofmann,PER
EHER,ORG
EIGENEN,MISC
EIN Buch,MISC
EINMAL,ORG
ER,MISC;PER
EXTREM,MISC
East London,LOC
Eben,LOC
Edith Carola,PER
Edith Piaf,PER
Ein Autogramm von Nurejew,MISC
Eindrückliches,MISC
Einfach,LOC;MISC
Einfluss,DANC
Einfluss-Wellen,LOC
Einführungsmatinéen,ORG
Einheit,DANC
Einleitung,DANC
Einstudieren,PROC
Einstudierungen,MISC
Eisberg,MISC
Ekstasetechnik,DANC
Elena Vostrotina,PER
Elisabeth von Österreich,PER
Ellen Widman,PER
Elsa Cavelti,PER
Elvis,PER
Elvis Presley,PER
Emil Staiger,PER
Emmy Hennings,PER
Emotionen,DANC
Energie,DANC
England,LOC
Englisch,MISC
Engländer,LOC
Ensemble,DANC
Entwurf,PROC
Epaulement,DANC
Erfülltheit,DANC
Erika Ackermann,PER
Erika Schneiter,PER
Erinnerungsschatz,LOC
Ernst,PER
Ernst Mohr,PER
Ersten Weltkrieg,MISC
Erwin Schumann,PER
Erzählen,DANC
Essen,LOC
Ethan,MISC
Etienne Frey,PER
Etüden,DANC
Eukinetik,DANC
Evdokimova,LOC
Eveline,LOC;PER
Evelyn,PER
